JAP;FR;COUNT;OUPS
Hey there, Emil. How goes the search for a cure?;Salut, Émile. Comment avancent tes recherches sur le remède ?;46;Hey there, Emil. How goes the search for a cure?
Nothing yet. But I did find this...;Je n'ai pas encore réussi, mais j'ai trouvé ceci.;47;Nothing yet. But I did find this...
There's a section of this manor called the Planning Room, and I think—;Il y a une partie du manoir appelée « Salle des projets » et je crois que...;48;There's a section of this manor called the Planning Room, and I think—
You think this room will let you harness the ability to control all forms of magic.;Tu crois que tu pourrais y découvrir comment maîtriser toute forme de magie.;49;You think this room will let you harness the ability to control all forms of magic.
Correct?;Est-ce exact ?;50;Correct?
Actually...yeah. Or even if it doesn't, something there might point us in the right direction.;À vrai dire, oui... Ou du moins, y trouver quelque chose qui nous indiquera que faire ensuite.;51;Actually...yeah. Or even if it doesn't, something there might point us in the right direction.
Sounds like a plan.;C'est une bonne idée.;52;Sounds like a plan.
There's an entrance in the courtyard. It's not far.;On peut y entrer en passant par la cour. Ce n'est pas très loin.;53;There's an entrance in the courtyard. It's not far.
All right. Let's go find it.;D'accord, allons-y.;54;All right. Let's go find it.
Is this it?;C'est ici ?;55;Is this it?
Warning: This facility...;« Avertissement : ce laboratoire... » Je n'arrive pas à déchiffrer le reste.;56;Warning: This facility...
...I can't read the rest. Something about a seal?;... Ça dit qu'il y a un sceau ?;57;...I can't read the rest. Something about a seal?
If someone bothered to attach a warning to this room, I doubt they will appreciate us;La personne qui a pris la peine d'afficher un avertissement à l'entrée de cette salle ne souhaiterait sans doute pas;58;If someone bothered to attach a warning to this room, I doubt they will appreciate us
forcing our way inside.;que nous y entrions de force.;59;forcing our way inside.
Ngh...;Oh...;60;Ngh...
Emil? What is it?;Émile ? Qu'y a-t-il ?;61;Emil? What is it?
Nothing. ...It's nothing. I'm fine.;Rien... Ce n'est rien. Je vais bien.;62;Nothing. ...It's nothing. I'm fine.
What's this? A scrap of paper?;Qu'est-ce que c'est ? Un bout de papier ?;63;What's this? A scrap of paper?
It would appear this used to be some manner of magical laboratory.;Il semblerait que cet endroit était autrefois une sorte de laboratoire magique.;64;It would appear this used to be some manner of magical laboratory.
This must have been where I was... Ngh!;Ce doit être l'endroit où je suis… Ah !;65;This must have been where I was... Ngh!
Urgh...;...;66;Urgh...
Emil?;Émile ?;67;Emil?
I'll...I'll be okay. We need to keep going.;Ça... ça ira. Nous devons continuer.;69;I'll...I'll be okay. We need to keep going.
I'm sorry...;Je suis désolé.;70;I'm sorry...
Project Number 6? Was this some sort of weapons laboratory?;Le projet Numéro 6 ? Cet endroit était-il un laboratoire de fabrication d'armes ?;75;Project Number 6? Was this some sort of weapons laboratory?
Something from the old world, I guess.;Je suppose que c'est un autre des vestiges de l'époque des Anciens.;76;Something from the old world, I guess.
Nnnghh... What was I...doing here...?;Oooh... Que... qu'est-ce que... je faisais ici...?;77;Nnnghh... What was I...doing here...?
I have doubts as to whether or not Emil will be able to continue.;Je ne suis pas certain qu'Émile puisse continuer.;78;I have doubts as to whether or not Emil will be able to continue.
I'm fine! Let's just go.;Je me sens bien ! Continuons.;79;I'm fine! Let's just go.
Nngh... Unnngh...;Ooooh... Aah...;84;Nngh... Unnngh...
Hey, Emil. You sure you're okay?;Es-tu sûr que ça va, Émile ?;85;Hey, Emil. You sure you're okay?
I'm a...weapon? What does that even mean? ...What am I?;Je suis... une arme ? Je ne sais même pas ce que ça veut dire !... Que suis-je ?;86;I'm a...weapon? What does that even mean? ...What am I?
It seems as if he's trying to remember something.;On dirait qu'il essaie de se rappeler quelque chose.;87;It seems as if he's trying to remember something.
You're going to be okay.;Tu n'as pas à t'inquiéter.;88;You're going to be okay.
Am I? Am I really?;Vraiment ? Tu en es certain ?;89;Am I? Am I really?
Your past makes no difference. We'll support you no matter what.;Ton passé ne change rien. Nous resterons à tes côtés quoi qu'il arrive.;90;Your past makes no difference. We'll support you no matter what.
At any rate, you would hardly be the first member of our merry band to have issues.;De toute façon, tu ne serais pas le premier membre de notre groupe à avoir quelques problèmes.;91;At any rate, you would hardly be the first member of our merry band to have issues.
No! Don't! Don't look at me!;Non ! Ne... ne me regardez pas...!;92;No! Don't! Don't look at me!
I know this is how I look now.;Je sais que c'est ainsi que je suis désormais.;94;I know this is how I look now.
I was terrified at first, but I think I'm okay with it.;J'étais terrifié au début, mais maintenant, je l'accepte.;95;I was terrified at first, but I think I'm okay with it.
I have the magic I wanted, and I can use it to bring Kainé back to life.;J'ai les sorts dont j'avais besoin et je peux les utiliser pour libérer Kainé.;96;I have the magic I wanted, and I can use it to bring Kainé back to life.
Emil...;Émile...;97;Emil...
We should hurry. She's waiting.;Dépêchons-nous. Elle nous attend.;98;We should hurry. She's waiting.
I sure hope seeing me doesn't petrify her.;J'espère seulement qu'elle ne sera pas pétrifiée en me voyant.;99;I sure hope seeing me doesn't petrify her.
...You know? In fear?;... De peur, je veux dire.;100;...You know? In fear?
I see this transformation has not stolen your terrible sense of humor!;Je vois que cette transformation ne t'a pas dépouillé de ton charmant sens de l'humour.;101;I see this transformation has not stolen your terrible sense of humor!
We are here to see Emil, yes?;Nous sommes venus rendre visite à Émile, non#?;102;We are here to see Emil, yes?
We need to go to the courtyard.;Nous devons aller dans la cour.;103;We need to go to the courtyard.
Oh. ...That's a long time.;Oh... Ça fait un bail.;104;Oh. ...That's a long time.
Any luck with Yonah?;Et Yonah ?;105;Any luck with Yonah?
We are still no closer to finding her. We need a way to locate the Shadowlord.;Nous sommes toujours à sa recherche. Nous devons trouver un moyen de découvrir où se cache le Maître des Ombres.;106;We are still no closer to finding her. We need a way to locate the Shadowlord.
This is for you.;Tiens.;107;This is for you.
Lunar Tears...? Did you make this?;Des larmes lunaires...?... Tu les as fabriquées toi-même ?;108;Lunar Tears...? Did you make this?
Just a little welcome-back gift. It's not much, I know.;Ce n'est qu'un cadeau pour célébrer ton retour. Ce n'est pas grand-chose, je sais.;109;Just a little welcome-back gift. It's not much, I know.
It's nothing like the one Grandma used to make, but... Ah, hell. Thanks.;Elles arrivent pas à la cheville de celles de ma grand-mère, mais… Ah, peu importe. Merci.;110;It's nothing like the one Grandma used to make, but... Ah, hell. Thanks.
Um, excuse me?;Euh, pardon...;111;Um, excuse me?
Popola! We did it! We freed Kainé!;Popola ! Nous avons réussi ! Nous avons libéré Kainé !;112;Popola! We did it! We freed Kainé!
That's great. Listen, can I talk to you for a minute?;C'est merveilleux. Puis-je vous parler un instant ?;113;That's great. Listen, can I talk to you for a minute?
This doesn't make sense!;Ça n'a aucun sens !;114;This doesn't make sense!
Please try to understand.;S'il te plaît, essaie de comprendre.;115;Please try to understand.
People are tired and scared, and...;Les villageois sont épuisés et terrifiés... Je suis désolée.;116;People are tired and scared, and...
I'm sorry. I'm sorry you have to bear the brunt of that.;Je regrette que tu aies à en subir les conséquences.;117;I'm sorry. I'm sorry you have to bear the brunt of that.
It's crap!;C'est de la connerie !;118;It's crap!
It's okay.;Ce n'est pas grave.;119;It's okay.
We can sleep outside.;Nous pouvons dormir à l'extérieur.;120;We can sleep outside.
No one's sleeping outside!;Personne ne va dormir à l'extérieur !;121;No one's sleeping outside!
You and Kainé saved this village, and now they want to run you out!?;Vous avez sauvé le village, toi et Kainé, et maintenant ils veulent vous en chasser ?!;122;You and Kainé saved this village, and now they want to run you out!?
People are afraid of us. And really, I understand. I mean, look at me.;Les villageois ont peur de nous. À vrai dire, je les comprends. Regarde-moi.;123;People are afraid of us. And really, I understand. I mean, look at me.
As long as you're still with us, I can deal with it.;Tant que tu demeures notre compagnon, je peux l'accepter.;124;As long as you're still with us, I can deal with it.
Right, Kainé?;N'est-ce pas, Kainé ?;125;Right, Kainé?
I'm used to sleeping outside.;J'ai l'habitude de dormir à l'extérieur.;126;I'm used to sleeping outside.
I'm...sorry.;Je suis désolé...;127;I'm...sorry.
We'll see you later.;À plus tard.;128;We'll see you later.
We're sorry...;Nous sommes navrées...;129;We're sorry...
What is the matter?;Qu'y a-t-il ?;130;What is the matter?
Kainé always sleeps outside. I never thought about that until just now.;Kainé dormait toujours à l'extérieur. Je n'y avais jamais pensé avant aujourd'hui.;131;Kainé always sleeps outside. I never thought about that until just now.
How could I have not noticed that? How selfish am I?;Comment ai-je pu ne pas le remarquer ? Suis-je donc si égoïste ?;132;How could I have not noticed that? How selfish am I?
What the hell is wrong with me?;Qu'est-ce qui me prend ?;133;What the hell is wrong with me?
...We should turn in.;Nous devrions rentrer.;134;...We should turn in.
...I didn't get much sleep that night.;... Je n'ai pas bien dormi cette nuit-là.;135;...I didn't get much sleep that night.
I wanted to blame Devola for everything.;Je voulais tenir Devola responsable de tout ce qui était arrivé.;136;I wanted to blame Devola for everything.
I wanted to grab Popola and strangle her.;Je voulais étrangler Popola.;137;I wanted to grab Popola and strangle her.
But anger won't accomplish anything.;Mais la colère n'accomplit rien.;138;But anger won't accomplish anything.
They said and did what they did for the sake of the village.;Elles ont agi pour le bien des villageois.;139;They said and did what they did for the sake of the village.
For the sake of protecting it from the horrifying threat of the Shades.;Elles ont voulu les protéger de la terrible menace des Ombres.;140;For the sake of protecting it from the horrifying threat of the Shades.
If Devola and Popola are to blame...;Si Devola et Popola ont eu tort...;142;If Devola and Popola are to blame...
Then I am equally at fault.;Alors, je suis coupable moi aussi.;143;Then I am equally at fault.
For not stopping for a moment to think about Kainé and Emil...;Car je n'ai pas pensé un instant à Kainé ou Émile...;144;For not stopping for a moment to think about Kainé and Emil...
Sleep well?;As-tu bien dormi#?;145;Sleep well?
Sure.;Oui.;146;Sure.
...Well, if you say so.;... Si tu le dis.;148;...Well, if you say so.
I need to go see Devola and Popola.;Je dois aller parler à Devola et Popola.;149;I need to go see Devola and Popola.
...Very well.;... Très bien.;150;...Very well.
I should talk to to Devola first.;Je devrais d'abord aller parler à Devola...;151;I should talk to to Devola first.
Hey.;Salut.;153;Hey.
...Hi.;... Salut.;154;...Hi.
I kinda thought you'd never talk to us again.;J'étais presque convaincue que tu ne nous adresserais plus jamais la parole.;155;I kinda thought you'd never talk to us again.
This is bigger than you or Popola. It's about the whole damn village.;Je n'en veux personnellement ni à toi ni à Popola. C'est contre tout le village que j'éprouve de la rancœur.;156;This is bigger than you or Popola. It's about the whole damn village.
I know. ...But regardless, you should go talk to Popola. I think she wanted to discuss the Shadowlord with you.;Je sais. Toutefois, tu devrais aller voir Popola. Je crois qu'elle voulait discuter du Maître des Ombres avec toi.;157;I know. ...But regardless, you should go talk to Popola. I think she wanted to discuss the Shadowlord with you.
I can do that.;D'accord.;158;I can do that.
Oh, and also...;Oh, et...;159;Oh, and also...
Yeah?;Qu'y a-t-il#?;160;Yeah?
Sorry about yesterday. I kind of flew off the handle.;Je veux m'excuser pour hier. Je n'aurais pas dû m'emporter.;161;Sorry about yesterday. I kind of flew off the handle.
No you didn't. Besides, it was our fault in the first place. ;Non, ce n'était pas ta faute.;162;No you didn't. Besides, it was our fault in the first place. 
Let Emil and Kainé know that we're sorry, all right?;Dis à Émile et Kainé que nous sommes désolées, d'accord#?;163;Let Emil and Kainé know that we're sorry, all right?
I'll do that.;Entendu.;165;I'll do that.
Let Emil and Kainé know that we're sorry, all right?;Dis à Émile et Kainé que nous sommes désolées, d'accord#?;166;Let Emil and Kainé know that we're sorry, all right?
I'll do that.;Entendu.;168;I'll do that.
Popola?;Popola#?;169;Popola?
Oh. Hello.;Oh. Bonjour.;170;Oh. Hello.
Look, I want to apologize for yest─;Écoute, je veux m'excuser de...;171;Look, I want to apologize for yest─
Stop. Don't you dare. You had every right to be upset.;Pas un mot de plus. Il était parfaitement normal que tu sois en colère.;172;Stop. Don't you dare. You had every right to be upset.
I understand why you did what you did. ...Even if I don't agree.;Je comprends pourquoi tu as pris cette décision... même si je ne suis pas d'accord.;173;I understand why you did what you did. ...Even if I don't agree.
You're just trying to protect the villagers. It's not your fault.;Tu essaies de protéger les villageois, voilà tout.;174;You're just trying to protect the villagers. It's not your fault.
Well, I still feel terrible. Just so you know.;Eh bien, moi, je m'en veux beaucoup.;175;Well, I still feel terrible. Just so you know.
Ahem! I believe there was something you wished to discuss with us?;Hum, ne voulais-tu pas discuter d'un sujet particulier avec nous#?;177;Ahem! I believe there was something you wished to discuss with us?
Oh, right. Yes, about that.;Euh, ah oui...;178;Oh, right. Yes, about that.
You know about the Lost Shrine, right?;Tu te souviens du temple oublié, n'est-ce pas#?;179;You know about the Lost Shrine, right?
The temple where I was first discovered!;L'endroit où <NIER> m'a trouvé#!;180;The temple where I was first discovered!
That's it. And it seems that the Shadowlord's lair is connected to it somehow.;C'est exact. On dirait qu'il y a un lien entre ce dernier et le repaire du Maître des Ombres.;181;That's it. And it seems that the Shadowlord's lair is connected to it somehow.
Oh ho! It was right under our pages the whole time!;Oh ho#! Il était là, juste sous ton nez depuis le début#!;182;Oh ho! It was right under our pages the whole time!
But the entrance is sealed off. And the bridge that led us there...;Mais l'entrée du temple est scellée et le pont qui y menait...;183;But the entrance is sealed off. And the bridge that led us there...
So take a boat.;Alors, vas-y par bateau.;184;So take a boat.
A boat?;Par bateau#?;185;A boat?
Yes. The trade waterway's been repaired.;Oui, les canaux des marchands ont été réparés.;186;Yes. The trade waterway's been repaired.
We've been using it a lot recently. With all the Shades running around, it's safer than trying to cross the plains. ;Nous les utilisons souvent ces derniers temps. Traverser les plaines est beaucoup trop dangereux.;187;We've been using it a lot recently. With all the Shades running around, it's safer than trying to cross the plains. 
There's a landing point near the path to the Lost Shrine's back entrance.;Il y a un quai près du chemin menant à l'entrée secrète du temple oublié.;188;There's a landing point near the path to the Lost Shrine's back entrance.
I let the ferryman know about you. He'll take you wherever you need to go without charge.;J'ai averti le batelier. Il t'emmènera où tu voudras gratuitement.;189;I let the ferryman know about you. He'll take you wherever you need to go without charge.
That should make it easier for you to move from town to town.;Cela te permettra de te déplacer d'un endroit à l'autre plus facilement.;190;That should make it easier for you to move from town to town.
Thanks, Popola.;Merci, Popola.;191;Thanks, Popola.
I feel like you've done so much for me.;Tu m'as tant aidé...;192;I feel like you've done so much for me.
I can't believe I was such an ass to you earlier.;Je n'arrive pas à croire que j'aie pu m'emporter de cette façon hier.;193;I can't believe I was such an ass to you earlier.
I told you not to worry about it. So don't.;N'y pense plus.;194;I told you not to worry about it. So don't.
All right. I'll see you around.;D'accord, à plus tard.;195;All right. I'll see you around.
Yeah. ...And for the love of everything, be careful!;Et pour l'amour du ciel, sois prudent#!;196;Yeah. ...And for the love of everything, be careful!
Yeah. ...And for the love of everything, be careful!;Et pour l'amour du ciel, sois prudent#!;197;Yeah. ...And for the love of everything, be careful!
They appear to be out.;On dirait qu'il n'y a personne.;198;They appear to be out.
Ho there! Popola told me about you.;Bonjour#! Popola m'a parlé de toi.;199;Ho there! Popola told me about you.
Just tell me where you're going, and I'll sail you there. No charge!;Où désires-tu aller#? C'est gratuit#!;200;Just tell me where you're going, and I'll sail you there. No charge!
Ho there! Getting on?;Bonjour#! Tu veux te rendre quelque part#?;201;Ho there! Getting on?
There it is! There it is!;La voilà ! La voilà !;202;There it is! There it is!
Mom...Mom, why?;Maman... Pourquoi, maman#?;204;Mom...Mom, why?
Who's there!?;Qui va là#?;205;Who's there!?
Who are you?;Qui eS-tu ?;206;Who are you?
I'm...I'm Kalil. What's your name?;Mon... Mon nom est Kalil. Comment t'appelles-tu#?;207;I'm...I'm Kalil. What's your name?
Military Defense Robot P-33.;RoBot de DéFense MiLitaire P-33.;208;Military Defense Robot P-33.
You are an intruder. You must be eliminated.;Tu eS un inTRus. Tu Dois êtRe éLiminé.;209;You are an intruder. You must be eliminated.
...Error. There is something leaking from your eyes.;... ERreur. UN liquiDe S'échaPPe de teS yeuX.;210;...Error. There is something leaking from your eyes.
I'm crying, you big dumb robot! I miss my mom.;Je pleure, espèce de robot idiot#! Je m'ennuie de maman.;211;I'm crying, you big dumb robot! I miss my mom.
What is crying? Who is Mom?;Qu'eSt-ce Que PleureR ? Qui eSt maMaN ?;212;What is crying? Who is Mom?
It doesn't matter. I can't see her ever again, because she's dead.;Ce n'est pas grave. Je ne pourrai plus jamais la voir parce qu'elle est morte.;213;It doesn't matter. I can't see her ever again, because she's dead.
My creator is also dead.;MoN créaTeuR est MoRt, lui auSSi.;215;My creator is also dead.
He perished hundreds of years ago.;IL a péri iL y a Des ceNTaines D'aNnées.;216;He perished hundreds of years ago.
Hundreds of years ago? Really?;Des centaines d'années#? Vraiment#?;217;Hundreds of years ago? Really?
874 years, 10 months, 14 days, 4 hours, and 43 minutes.;IL y a 874 ans, 10 MoiS, 14 jourS, 4 Heures eT 43 MinuteS.;218;874 years, 10 months, 14 days, 4 hours, and 43 minutes.
...44 minutes.;... 44 MiNutes.;219;...44 minutes.
Aren't you lonely?;Et tu ne te sens pas seul#?;220;Aren't you lonely?
I am incapable of being lonely. Or missing others. Or crying.;Je Suis inCaPable De Me senTiR seul. Ou De m'enNuyeR de queLQu'un. Ou De pleuReR.;221;I am incapable of being lonely. Or missing others. Or crying.
I'm crying because I don't want to die.;Je pleure parce que je ne veux pas mourir.;222;I'm crying because I don't want to die.
You...will die?;Tu Vas... mouRiR ?;223;You...will die?
If the humans catch me, they're gonna kill me.;Si les humains m'attrapent, ils me tueront.;224;If the humans catch me, they're gonna kill me.
Why...will they kill you?;PouRquoi... voNT-ils Te Tuer ?;225;Why...will they kill you?
*Sniff* Waaaaaah!!;Snif#! Ouiiiiiiiiin#!;226;*Sniff* Waaaaaah!!
I will not permit the humans to kill Kalil.;Je Ne perMeTtrai PaS aux huMaiNs de TueR KaliL.;230;I will not permit the humans to kill Kalil.
Huh?;Hein#?;231;Huh?
Military Defense Robot P-33 will protect you.;RoBot de DéFense MiLitaire P-33 Te proTéGera.;232;Military Defense Robot P-33 will protect you.
You're gonna help me?;Tu vas m'aider#?;233;You're gonna help me?
P-33 is charged with defending others.;La MissioN De P-33 esT De proTéGer autRui.;234;P-33 is charged with defending others.
P-33 will defend Kalil.;P-33 DéfenDRa KaliL.;235;P-33 will defend Kalil.
Oh, hooray! Thanks, robot! And since we're friends now, I'm gonna call you Beepy!;Oh, hourra#! Merci, robot#! Et maintenant que nous sommes amis, je vais t'appeler Bip-bip#!;236;Oh, hooray! Thanks, robot! And since we're friends now, I'm gonna call you Beepy!
Wow, that was scary.;Ouf, j'ai eu peur#!;237;Wow, that was scary.
The noise of the intruders caused the structure to fail. They should have proceeded with;LeS vibRaTions SoNores éMiSes paR Les inTRus onT ProvoQué L'effoNDremeNT;238;The noise of the intruders caused the structure to fail. They should have proceeded with
more caution.;de la STrucTuRe. ILs auraieNT dû êtRe Plus PRudenTS.;239;more caution.
One intruder has perished.;L'uN d'eux a PéRi.;240;One intruder has perished.
Oh, that's terrible.;Oh, non#!;241;Oh, that's terrible.
I don't think they were chasing me. They seemed nice.;Je ne pense pas qu'ils me pourchassaient. Ils avaient l'air gentils.;242;I don't think they were chasing me. They seemed nice.
Oh. Hello again.;Oh. Bonjour.;243;Oh. Hello again.
You're the little one, aren't you? ...You've grown.;Tu es le plus jeune, n'est-ce pas#? ...#Tu as grandi.;244;You're the little one, aren't you? ...You've grown.
How fares your brother?;Comment se porte ton frère#?;245;How fares your brother?
My brother...;Mon frère...;246;My brother...
My brother's been dead for four years.;Il est mort il y a quatre ans.;247;My brother's been dead for four years.
I see. Please forgive the question.;Je vois. Je suis désolé de l'apprendre.;248;I see. Please forgive the question.
It's okay.;Vous ne pouviez pas savoir.;249;It's okay.
Look, I need to ask you something.;Écoute, j'ai une question à te poser.;250;Look, I need to ask you something.
What is it?;Qu'y a-t-il#?;251;What is it?
You heard any rumors about Shades around here?;Aurais-tu entendu parler d'une Ombre qui rôderait aux alentours#?;252;You heard any rumors about Shades around here?
Not the little guys. I'm looking for one that's unusually big and strong.;Pas une Ombre normale, mais une Ombre gigantesque et très dangereuse.;253;Not the little guys. I'm looking for one that's unusually big and strong.
No, I haven't heard about anything like that. But I haven't really been listening.;Non, ça ne me dit rien. Mais je n'écoute pas vraiment les rumeurs, ces derniers temps.;254;No, I haven't heard about anything like that. But I haven't really been listening.
I just...I just want to destroy robots.;Tout ce qui m'importe, c'est de détruire des robots...;255;I just...I just want to destroy robots.
Rip 'em up...;De les mettre en pièces...;256;Rip 'em up...
Uh...okay. Well, never mind, then.;Euh, d'accord... Oublie tout ça, alors.;257;Uh...okay. Well, never mind, then.
Sorry to bug ya.;Désolé de t'avoir dérangé.;258;Sorry to bug ya.
Wait!;Attendez#!;259;Wait!
Yes?;Hum#?;260;Yes?
I recently got my hands on a weapon. ...A very powerful weapon.;J'ai mis la main sur une arme il y a quelque temps. Une arme très puissante...;261;I recently got my hands on a weapon. ...A very powerful weapon.
I thought you might get some use out of it.;Elle pourrait sans doute vous être utile.;262;I thought you might get some use out of it.
Hmm... This sword has seen better days.;Hum... Cette arme a connu des jours meilleurs.;263;Hmm... This sword has seen better days.
Yeah, it's pretty beat-up. I mean, there's potential, but it's fairly powerless right now.;Oui, elle est endommagée. Mais je sens qu'elle a du potentiel...;264;Yeah, it's pretty beat-up. I mean, there's potential, but it's fairly powerless right now.
Can you repair it?;Pourrais-tu la réparer#?;265;Can you repair it?
I can repair anything with the proper material.;Avec les matériaux appropriés, je pourrais réparer n'importe quoi#!;266;I can repair anything with the proper material.
If you'll fix it, I'll get the parts.;Je me procurerai ce dont tu as besoin.;267;If you'll fix it, I'll get the parts.
Eee hee! I'm so glad I decided not to throw this out!;Ho, ho, ho#! Je suis bien content de ne pas m'en être débarrassée#!;268;Eee hee! I'm so glad I decided not to throw this out!
I'm gonna need some memory alloy.;Il me faudra un morceau d'alliage à mémoire de forme.;269;I'm gonna need some memory alloy.
Only the real big enemies on the second basement level have them, so watch yourself. ;Seuls les robots les plus dangereux du deuxième sous-sol en détiennent, alors faites attention#!;270;Only the real big enemies on the second basement level have them, so watch yourself. 
Also, here's the passcode to get down there. Use it on the elevator.;Voici le code d'accès nécessaire pour atteindre cet endroit en prenant l'ascenseur.;271;Also, here's the passcode to get down there. Use it on the elevator.
Okay, ready? What's a ship?;Alors, tu es prêt#? Qu'est-ce qu'un bateau#?;272;Okay, ready? What's a ship?
A large seagoing vessel...that carries freight...and passengers...over bodies of water.;UNe larGe ConsTRuctioN FlotTaNte... seRVant au TRansPoRt de CaRgaisoN eT de paSSagerS... Sur une éTeNdue d'eau.;273;A large seagoing vessel...that carries freight...and passengers...over bodies of water.
