JAP;FR;COUNT;OUPS
Pah! As if Grimiore Weiss is capable of spouting such nonsense!;Pfft#! Le Grimoire Weiss ne débiterait jamais de telles sottises#!;26;Pah! As if Grimiore Weiss is capable of spouting such nonsense!
Hang on. I don't think he's done.;Attends, je crois qu'elle n'a pas fini.;27;Hang on. I don't think he's done.
...The dark form that governs all memories.;... L'essence sombre qui gouverne tous les souvenirs.;28;...The dark form that governs all memories.
...May the words form themselves to your liking.;... Que les mots se construisent comme vous le désirez.;29;...May the words form themselves to your liking.
That would be nice.;Euh, merci...?;32;That would be nice.
Ugh...;Hum...;33;Ugh...
...You let it slip through your fingers.;Tu le laisserais te filer entre les doigts...?;34;...You let it slip through your fingers.
Give me a break! I have to go back to that stupid land of words!?;Tu rigoles#?! Je dois retourner dans ce ridicule univers peuplé de mots#?!;35;Give me a break! I have to go back to that stupid land of words!?
What in the...?;Mais que...?;36;What in the...?
I never realized that Shades were capable of rational thought.;Je ne m'étais jamais rendu compte que les Ombres pouvaient posséder un esprit rationnel.;37;I never realized that Shades were capable of rational thought.
I don't care if they can tap dance and play the fiddle.;Qu'elles fassent des claquettes ou jouent du violon, je m'en fiche.;38;I don't care if they can tap dance and play the fiddle.
Can't I just kill something without all this voodoo nonsense?;Ce serait trop demander de pouvoir tuer un ennemi sans avoir à endurer toutes ces absurdités#?;39;Can't I just kill something without all this voodoo nonsense?
With the tree defeated, we no longer have to worry about being buried in its world of letters.;Puisque nous avons vaincu l'arbre, nous n'avons plus à craindre de nous faire engloutir dans son univers de lettres.;40;With the tree defeated, we no longer have to worry about being buried in its world of letters.
Unless, of course, time itself begins to rewind... Hmm... ;À moins, bien sûr, que le temps ne s'écoule soudainement à rebours... Hum...;41;Unless, of course, time itself begins to rewind... Hmm... 
Black. Pure darkness. Painted over everything.;Le noir... L'obscurité profonde... Elle recouvre tout.;42;Black. Pure darkness. Painted over everything.
Words. Scattered here and there across the blackness.;Des mots sont dispersés ici et là dans les ténèbres.;43;Words. Scattered here and there across the blackness.
Kind words. Difficult words. Amorous words. All sparkling in the dark like jewels.;Des mots aimables... Des mots difficiles... Des mots d'amour... Des joyaux qui scintillent dans le noir...;44;Kind words. Difficult words. Amorous words. All sparkling in the dark like jewels.
The words were few now. But time was shorter.;Les mots sont peu nombreux. Et le temps presse.;45;The words were few now. But time was shorter.
Grabbing the words in desperation, the tree turned to the sky.;Saisissant désespérément les mots, l'arbre se tourna vers le ciel.;46;Grabbing the words in desperation, the tree turned to the sky.
<FONT=ITALIC>This is wrong,</FONT> whispered the tree in the voice of wind through the leaves. <FONT=ITALIC>This is not how it was supposed to be.</FONT>;<FONT=ITALIC>Quelque chose ne va pas,</FONT> murmura l'arbre avec la voix du vent qui souffle parmi les feuilles. <FONT=ITALIC>Ce n'est pas ce qui devait arriver.</FONT>;47;<FONT=ITALIC>This is wrong,</FONT> whispered the tree in the voice of wind through the leaves. <FONT=ITALIC>This is not how it was supposed to be.</FONT>
<FONT=ITALIC>...The plan has failed.</FONT>;<FONT=ITALIC>... Le plan a échoué.</FONT>;48;<FONT=ITALIC>...The plan has failed.</FONT>
Once, long ago, the tree had remembered everything about the world. This was its task. Its purpose.;Jadis, l'arbre savait tout au sujet du monde. C'était sa tâche. Sa raison d'être.;49;Once, long ago, the tree had remembered everything about the world. This was its task. Its purpose.
"It shivered with something approaching joy as it collected the memories of mankind. <STOP>This was no accident; emotions were as much a part of the tree as root and bark.";Il tressaillait presque de joie en rassemblant les souvenirs de l'Homme. <STOP>Ceci n'était pas étrange, car les émotions faisaient autant partie de l'arbre que ses racines et son écorce.;50;"It shivered with something approaching joy as it collected the memories of mankind. <STOP>This was no accident; emotions were as much a part of the tree as root and bark."
Memories collected like dew on the thick green leaves of the tree. ;Les souvenirs s'accumulaient sur ses épaisses feuilles vertes telles des perles de rosée.;51;Memories collected like dew on the thick green leaves of the tree. 
And once they had formed a web that spanned the entire world.;Autrefois, ils avaient tissé une toile qui recouvrait le monde entier.;52;And once they had formed a web that spanned the entire world.
Words collapsed into sunlight before passing through the leaves and into the pool of memory. From the pool, the words joined together to form colonies, the colonies united into whirlpools of light, and the light coalesced into stars. <STOP>Each star was like a child of the tree, and it loved them all. ;Décomposés par la lumière du soleil, les mots passaient à travers les feuilles et tombaient dans le bassin de la mémoire. Dans ce bassin, ils constituaient des colonies qui s'unissaient en tourbillons de lumière et cette lumière formait ensuite des étoiles. <STOP>L'arbre considérait chacune de ces étoiles comme son enfant et les chérissait toutes.;53;Words collapsed into sunlight before passing through the leaves and into the pool of memory. From the pool, the words joined together to form colonies, the colonies united into whirlpools of light, and the light coalesced into stars. <STOP>Each star was like a child of the tree, and it loved them all. 
<FONT=ITALIC>Look at my memory.</FONT>;<FONT=ITALIC>Regardez mes souvenirs...</FONT>;54;<FONT=ITALIC>Look at my memory.</FONT>
A child is here, brought low by disease. He is far too young to have suffered so.;Un enfant affaibli par la maladie. Il semble être beaucoup trop jeune pour avoir autant souffert.;55;A child is here, brought low by disease. He is far too young to have suffered so.
Thin beyond words, the boy's skin is a shade paler than the bleached hospital sheets upon which he lies. <STOP>His parents no longer visit him, for they cannot bear to watch him suffer. The doctors have long since surrendered his fate to the gods.;La peau de son corps émacié est plus pâle encore que les draps de son lit. <STOP>Ses parents ne lui rendent plus visite, car ils ne supportent pas de le voir souffrir. Il y a longtemps que les docteurs ont remis son sort dans les mains des dieux.;56;Thin beyond words, the boy's skin is a shade paler than the bleached hospital sheets upon which he lies. <STOP>His parents no longer visit him, for they cannot bear to watch him suffer. The doctors have long since surrendered his fate to the gods.
The boy, too, has abandoned hope. Strange emotions—;Le garçon a lui aussi perdu espoir. Des émotions inquiétantes,;57;The boy, too, has abandoned hope. Strange emotions—
weariness, hatred—swell within the dark recesses of his young heart. <STOP>He tries to reject the black terror that germinates in his body, but no amount of effort or tears can drive the invader away.;la lassitude, la haine, se bousculent dans les profondeurs de son jeune cœur. <STOP>Il essaie de combattre l'horreur obscure qui germe dans son corps, mais ses piètres efforts et ses larmes ne sont pas de taille contre cet envahisseur.;58;weariness, hatred—swell within the dark recesses of his young heart. <STOP>He tries to reject the black terror that germinates in his body, but no amount of effort or tears can drive the invader away.
He has long ceased to resent his parents and doctors. Once he did, but now his pain is so great that there is little room in his heart to think of others.;Il n'éprouve plus de ressentiment à l'égard de ses parents et des docteurs depuis longtemps. Autrefois, il leur en voulait, mais désormais, la douleur l'accable tant qu'il n'arrive plus à se soucier des autres.;59;He has long ceased to resent his parents and doctors. Once he did, but now his pain is so great that there is little room in his heart to think of others.
Only one person brings the boy comfort: a healthy young girl with tan skin and deep brown eyes.;La seule personne qui sait le soulager est une jeune fille basanée aux yeux bruns.;60;Only one person brings the boy comfort: a healthy young girl with tan skin and deep brown eyes.
Only one person brings the boy comfort: a healthy young girl with tan skin and deep green eyes.;La seule personne qui sait le soulager est une jeune fille basanée aux yeux verts.;61;Only one person brings the boy comfort: a healthy young girl with tan skin and deep green eyes.
Only one person brings the boy comfort: a healthy young girl with tan skin and deep blue eyes.;La seule personne qui sait le soulager est une jeune fille basanée aux yeux bleus.;62;Only one person brings the boy comfort: a healthy young girl with tan skin and deep blue eyes.
"She is a beacon of brightness and light in the boy's world; her very presence is a comfort to him. ";Elle est le seul rayon de lumière dans le monde du garçon. L'éclat de sa présence le réconforte.;63;"She is a beacon of brightness and light in the boy's world; her very presence is a comfort to him. "
But he is unable to look upon her face.;Mais il ne peut pas la regarder.;64;But he is unable to look upon her face.
Whenever they meet, the boy is filled with loathing for his own state. Soon, this loathing eats away at what joy he receives from the girl's visits.;Chaque fois qu'il la rencontre, un dégoût profond pour sa situation l'envahit. Ce dégoût corrompt rapidement la joie qu'il ressent en présence de la jeune fille.;65;Whenever they meet, the boy is filled with loathing for his own state. Soon, this loathing eats away at what joy he receives from the girl's visits.
The girl will stop coming. He knows this. His every waking moment is spent in fear of this day.<PAGE>;Un jour, elle ne viendra plus le voir. Il le sait bien. Il passe ses journées à le craindre.;66;The girl will stop coming. He knows this. His every waking moment is spent in fear of this day.<PAGE>
He thinks that if he could talk to her, if he could tell her of his feelings, that this might not be so. But this conversation never happens.;Il croit que s'il pouvait lui parler, s'il pouvait seulement lui dire ce qu'il ressent, ce jour ne viendrait peut-être pas.<PAGE>Mais cette conversation n'a jamais lieu.;67;He thinks that if he could talk to her, if he could tell her of his feelings, that this might not be so. But this conversation never happens.
The girl disappears.;La jeune fille disparaît.;68;The girl disappears.
The boy dies alone.;Le garçon meurt seul.;69;The boy dies alone.
The tree scoops up this memory and carefully stores it within itself. Etched upon it is a single word: Envy.;L'arbre ramasse ce souvenir et l'entrepose soigneusement en son sein. Un mot y est gravé#: «#envie#».;70;The tree scoops up this memory and carefully stores it within itself. Etched upon it is a single word: Envy.
<FONT=ITALIC>Look at my memory.</FONT>;<FONT=ITALIC>Regardez mes souvenirs...</FONT>;71;<FONT=ITALIC>Look at my memory.</FONT>
There is a female warrior.;Une guerrière redoutable.;72;There is a female warrior.
Her greatest enemy is a beast with red eyes that she cannot fully comprehend. When she strikes it with her sword, it turns into a pillar of salt and dies.;Son plus grand ennemi est une créature aux yeux ardents qu'elle n'a jamais su comprendre. Lorsqu'elle la taillade de son épée, celle-ci se transforme en statue de sel.;73;Her greatest enemy is a beast with red eyes that she cannot fully comprehend. When she strikes it with her sword, it turns into a pillar of salt and dies.
But when the white smoke clears, a new enemy rises.;Cependant, une fois la poussière dissipée, une autre créature surgit…;74;But when the white smoke clears, a new enemy rises.
<STOP>And another.;<STOP>Et une autre...;75;<STOP>And another.
<STOP>...And another.;<STOP>Toujours une autre...;76;<STOP>...And another.
The warrior knows that her struggle is folly, but fighting the unending stream of enemies fills her with a sense of joy and purpose.;La guerrière sait bien qu'elle lutte en vain, mais combattre le flot perpétuel d'ennemis la motive et la remplit de joie.;77;The warrior knows that her struggle is folly, but fighting the unending stream of enemies fills her with a sense of joy and purpose.
"Somewhere deep in the warrior's drug-addled mind lies a vague memory of a daughter. <STOP>Perhaps the child exists only in her head; the dying remnants of a powerful dream. She does not know.";Quelque part dans les profondeurs de son esprit abruti par la drogue se tapit le souvenir d'une enfant. <STOP>Sa fille n'existe peut-être que dans sa tête. Elle n'est sans doute que le vestige d'un rêve troublant. Elle l'ignore.;78;"Somewhere deep in the warrior's drug-addled mind lies a vague memory of a daughter. <STOP>Perhaps the child exists only in her head; the dying remnants of a powerful dream. She does not know."
Her friends and fellow warriors come and go. Some flee in terror. Some are eaten. <STOP>She began the fight with 23 companions, but most are gone now.;Ses camarades de régiment ont tous fini par la quitter. Certains se sont enfuis, terrifiés. D'autres se sont fait dévorer. <STOP>Au début, elle avait vingt-trois compagnons, mais il ne lui en reste plus.;79;Her friends and fellow warriors come and go. Some flee in terror. Some are eaten. <STOP>She began the fight with 23 companions, but most are gone now.
Her friends and fellow warriors come and go. Some flee in terror. Some are eaten. <STOP>She began the fight with 33 companions, but most are gone now.;Ses camarades de régiment ont tous fini par la quitter. Certains se sont enfuis, terrifiés. D'autres se sont fait dévorer. <STOP>Au début, elle avait trente-trois compagnons, mais il ne lui en reste plus.;80;Her friends and fellow warriors come and go. Some flee in terror. Some are eaten. <STOP>She began the fight with 33 companions, but most are gone now.
Her friends and fellow warriors come and go. Some flee in terror. Some are eaten. <STOP>She began the fight with 63 companions, but most are gone now.;Ses camarades de régiment ont tous fini par la quitter. Certains se sont enfuis, terrifiés. D'autres se sont fait dévorer. <STOP>Au début, elle avait soixante-trois compagnons, mais il ne lui en reste plus.;81;Her friends and fellow warriors come and go. Some flee in terror. Some are eaten. <STOP>She began the fight with 63 companions, but most are gone now.
The warrior's body shudders. She does not understand why at first.;Le corps de la guerrière tressaillit. Elle ne sait d'abord pas pourquoi.;82;The warrior's body shudders. She does not understand why at first.
By the time she hears the fierce, low sound, the arena is already enclosed in darkness. Looking up, the warrior sees a beast so large that it blots out the sky.;Les ténèbres ont déjà envahi l'arène lorsqu'elle entend un grognement sourd et guttural. Levant les yeux, la guerrière aperçoit un monstre gigantesque qui obscurcit le ciel.;83;By the time she hears the fierce, low sound, the arena is already enclosed in darkness. Looking up, the warrior sees a beast so large that it blots out the sky.
She is laughing. She has been doing so for as long as she can remember.;Elle rit... Elle rit à en perdre haleine depuis toujours.;84;She is laughing. She has been doing so for as long as she can remember.
Covered in blood and dirt, the warrior laughs. She laughs and laughs until the town that contains her daughter collapses into a pile of dust.;Maculée de sang et de boue, la guerrière s'étouffe de rire. Elle rit sans pouvoir s'arrêter jusqu'à ce que la ville qui recèle sa fille soit réduite en poussière.;85;Covered in blood and dirt, the warrior laughs. She laughs and laughs until the town that contains her daughter collapses into a pile of dust.
This memory has been stored for a long time. It is etched with a single word: Loss.;Il y a longtemps que l'arbre a entreposé ce souvenir. Un mot y est gravé#: «#perte#».;86;This memory has been stored for a long time. It is etched with a single word: Loss.
<FONT=ITALIC>Look at my memory.</FONT>;<FONT=ITALIC>Regardez mes souvenirs...</FONT>;87;<FONT=ITALIC>Look at my memory.</FONT>
A red dragon falls from the heavens... ;Un dragon écarlate descend des cieux.;88;A red dragon falls from the heavens... 
<FONT=ITALIC>Ah, that memory has been lost. A shame. It was a favorite of mine.</FONT>;<FONT=ITALIC>Ah, j'ai perdu ce souvenir. Dommage. C'était un de mes favoris.</FONT>;89;<FONT=ITALIC>Ah, that memory has been lost. A shame. It was a favorite of mine.</FONT>
After many centuries of existence, the tree saw that its carefully labeled memories were beginning to dwindle.;Après des siècles, l'arbre se rendit compte que ses souvenirs, si soigneusement catalogués, diminuaient.;90;After many centuries of existence, the tree saw that its carefully labeled memories were beginning to dwindle.
Once seemingly infinite, the memories now seemed ready to disappear forever.;Autrefois apparemment infinis, les souvenirs semblaient désormais pouvoir disparaître à tout jamais.;91;Once seemingly infinite, the memories now seemed ready to disappear forever.
"The tree did not feel sadness at this; grief was an emotion beyond its comprehension.";L'arbre ne s'en attrista pas. Le chagrin était une émotion qui dépassait maintenant son entendement.;92;"The tree did not feel sadness at this; grief was an emotion beyond its comprehension."
It did, however, have the distinct feeling that something was missing.;Par contre, il eut la nette impression qu'il lui manquait quelque chose.;93;It did, however, have the distinct feeling that something was missing.
The mountain of memories it had so carefully assembled had disappeared.;La multitude de souvenirs qu'il avait rassemblés avec tant de précaution avait disparu.;94;The mountain of memories it had so carefully assembled had disappeared.
The tree stretched its branches as far as it could, but new memories refused to flow.;L'arbre étendit ses branches le plus loin possible, mais il ne put récupérer aucun nouveau souvenir.;95;The tree stretched its branches as far as it could, but new memories refused to flow.
"The pool of memories was a black, empty pit; a hollow place where life had once flourished.";Le bassin de la mémoire n'était plus qu'un large trou béant, un espace vide où la vie avait jadis prospéré.;96;"The pool of memories was a black, empty pit; a hollow place where life had once flourished."
The tree had lost its purpose.;L'arbre avait perdu sa raison d'être.;97;The tree had lost its purpose.
There was nothing to be done but sift through the few remaining memories littering the ground under its branches.;Il n'avait plus rien d'autre à faire que d'examiner le peu de souvenirs qui gisaient sur le sol sous ses branches.;98;There was nothing to be done but sift through the few remaining memories littering the ground under its branches.
This is why the tree was pleased when the man and his companion entered the room.;C'est pourquoi il fut ravi de voir l'homme et son compagnon entrer dans la salle.;99;This is why the tree was pleased when the man and his companion entered the room.
<NIER>: Well, this place is gloomy as hell.;<NIER>#: Dis donc, cet endroit est plutôt lugubre.;100;<NIER>: Well, this place is gloomy as hell.
The room <NIER> had entered was almost completely empty.;La pièce où se tenait <NIER> était presque vide.;101;The room <NIER> had entered was almost completely empty.
All he could see were a few crystals scattered haphazardly on the ground.;Il n'y avait que quelques cristaux éparpillés sur le sol.;102;All he could see were a few crystals scattered haphazardly on the ground.
Picking up one of the crystals and peering into it, <NIER> suddenly saw a familiar sight. ;<NIER> en ramassa un et y jeta un coup d'œil. Il reconnut tout de suite la forêt des légendes.;103;Picking up one of the crystals and peering into it, <NIER> suddenly saw a familiar sight. 
It was the Forest of Myth—its villagers prisoners of their own dreams.;Les villageois y étaient prisonniers de leurs propres rêves.;104;It was the Forest of Myth—its villagers prisoners of their own dreams.
<FONT=ITALIC>I apologize,</FONT> the tree thought. <FONT=ITALIC>That is all that remains.</FONT>;<FONT=ITALIC>Je suis désolé,</FONT> pensa l'arbre. <FONT=ITALIC>C'est tout ce qui reste.</FONT>;105;<FONT=ITALIC>I apologize,</FONT> the tree thought. <FONT=ITALIC>That is all that remains.</FONT>
As <NIER> stared at the jewel, bewildered, a voice suddenly called out from the depths of his mind.;Tandis que <NIER> examinait la gemme, perplexe, une voix l'interpella dans son esprit.;106;As <NIER> stared at the jewel, bewildered, a voice suddenly called out from the depths of his mind.
The voice implored them to listen.;Cette voix l'implora d'écouter.;107;The voice implored them to listen.
It was an order. Following it was mandatory.;C'était un ordre. Il devait y obéir.;108;It was an order. Following it was mandatory.
Abruptly, the pair realized that <WAIT=0.2>they <WAIT=0.1>must <WAIT=0.1>listen.;<NIER> et Weiss comprirent brusquement qu'ils<WAIT=0.5> devaient<WAIT=0.5> écouter.<WAIT=0.2>;109;Abruptly, the pair realized that <WAIT=0.2>they <WAIT=0.1>must <WAIT=0.1>listen.
<WAIT=0.4>They  <WAIT=0.2>m <WAIT=0.15>us <WAIT=0.15>t  <WAIT=0.3>li <WAIT=0.2>st <WAIT=0.1>en!;Ils.<WAIT=0.3> Devaient.<WAIT=0.3> Écouter.;110;<WAIT=0.4>They  <WAIT=0.2>m <WAIT=0.15>us <WAIT=0.15>t  <WAIT=0.3>li <WAIT=0.2>st <WAIT=0.1>en!
Weiss: Look.;Weiss#: Regarde.;111;Weiss: Look.
A small, shadowy presence appeared from beneath the floor.;Une petite silhouette noire apparut de sous le plancher.;112;A small, shadowy presence appeared from beneath the floor.
It looked to be a Shade.;Elle semblait être une Ombre.;113;It looked to be a Shade.
The Shade grasped several jewels in its hand. More jewels tumbled out of its mouth like shards of broken teeth, sights and sounds tinkling from each one before vanishing forever. ;L'Ombre ramassa des cristaux. Elle en broyait déjà d'autres dans sa gueule, des fragments d'images et de sons s'en échappant en tintant avant de disparaître pour toujours.;114;The Shade grasped several jewels in its hand. More jewels tumbled out of its mouth like shards of broken teeth, sights and sounds tinkling from each one before vanishing forever. 
The creature was abusing the memories, treating the precious objects like a collection of cheap playroom toys.;La créature malmenait les souvenirs et s'amusait avec eux comme s'ils n'étaient que de vulgaires jouets.;115;The creature was abusing the memories, treating the precious objects like a collection of cheap playroom toys.
Weiss: This Shade appears to be consuming the memories.;Weiss#: Cette Ombre semble se nourrir de souvenirs.;116;Weiss: This Shade appears to be consuming the memories.
<NIER>: That little thing? It's barely worth my time to kill.;<NIER>#: Elle est si minuscule, ça ne vaut presque pas la peine de l'éliminer.;117;<NIER>: That little thing? It's barely worth my time to kill.
The tree extended a branch toward <NIER>.;L'arbre tendit une branche vers <NIER>.;118;The tree extended a branch toward <NIER>.
Without a second thought, <NIER> brought his blade down on the Shade, tearing its stomach wide.;Sans réfléchir, <NIER> éventra l'Ombre de son épée.;119;Without a second thought, <NIER> brought his blade down on the Shade, tearing its stomach wide.
Jewels burst from the Shade and poured across the chamber floor.<PAGE>;Une pluie de gemmes cristallines jaillit de l'Ombre et se répandit sur le sol.<PAGE>;120;Jewels burst from the Shade and poured across the chamber floor.<PAGE>
<FONT=ITALIC>Look,</FONT> thought the tree. <FONT=ITALIC>There is the Conviction memory I had lost. And Satisfaction. And many others as well. Yes, this is good.</FONT>;<FONT=ITALIC>Regardez,</FONT> pensa l'arbre. <FONT=ITALIC>Voilà le souvenir de conviction que j'avais perdu... Oh, et celui de satisfaction. Et tant d'autres... Oui, très bien.</FONT>;121;<FONT=ITALIC>Look,</FONT> thought the tree. <FONT=ITALIC>There is the Conviction memory I had lost. And Satisfaction. And many others as well. Yes, this is good.</FONT>
The tree opened its mouth and attempted to speak, but no sound emerged.;L'arbre essaya de parler, mais aucun son ne s'échappa de sa bouche.;122;The tree opened its mouth and attempted to speak, but no sound emerged.
A millennium of silence and solitude had caused the tree to forget certain things. But rather than be upset, it greeted the development with good cheer. <STOP>Focusing all its power on the riddle of speech, the tree formed a kind of makeshift vocal cord and tried again.<PAGE>;Un millénaire de silence et de solitude lui avait fait oublier certaines choses. Au lieu d'en être irrité, il se réjouit de cette découverte. <STOP>Concentrant toute son énergie à résoudre le mystère de la parole, l'arbre s'improvisa des cordes vocales et réessaya.;123;A millennium of silence and solitude had caused the tree to forget certain things. But rather than be upset, it greeted the development with good cheer. <STOP>Focusing all its power on the riddle of speech, the tree formed a kind of makeshift vocal cord and tried again.<PAGE>
Ahem! I... I implore... *HACK*!;Arhem#! Je... je vous... Kof, kof#!;124;Ahem! I... I implore... *HACK*!
It spat out a glimmering green jewel.;Il cracha un cristal émeraude.;125;It spat out a glimmering green jewel.
<FONT=ITALIC>Hmmm... One more time.</FONT>;<FONT=ITALIC>Hum... Essayons encore une fois.</FONT><PAGE>;126;<FONT=ITALIC>Hmmm... One more time.</FONT>
I implore you.;Je vous le demande.;127;I implore you.
<FONT=ITALIC>There we are.</FONT>;<FONT=ITALIC>Et voilà.</FONT>;128;<FONT=ITALIC>There we are.</FONT>
What was the color of the lost envy?;Quelle était la couleur de l'envie oubliée#?;129;What was the color of the lost envy?
<LIST=1035>Brown</LIST>;<LIST=1035>Brune</LIST>;132;<LIST=1035>Brown</LIST>
<LIST=1036>Green</LIST>;<LIST=1036>Verte</LIST>;133;<LIST=1036>Green</LIST>
<LIST=1037>Blue</LIST>;<LIST=1037>Bleue</LIST>;134;<LIST=1037>Blue</LIST>
Weiss: It spoke! ...This Shade has intelligence! And emotion!;Weiss#: Elle a parlé#! Cette Ombre est intelligente...! C'est un être sensible...!;138;Weiss: It spoke! ...This Shade has intelligence! And emotion!
<NIER>: Who cares?;<NIER>#: Je m'en fiche.;139;<NIER>: Who cares?
<NIER> brushed Weiss's comment aside as his sword sliced through the Shade's right arm.;Il balaya d'un geste les soucis de Weiss et trancha le bras droit de l'Ombre de son épée.;140;<NIER> brushed Weiss's comment aside as his sword sliced through the Shade's right arm.
The Shade extended its remaining arm to <NIER>. <FONT=ITALIC>I must must touch him. I must make contact.</FONT>;L'Ombre tendit son autre bras vers <NIER>. <FONT=ITALIC>Je dois le toucher. Je dois entrer en contact avec lui.</FONT>;141;The Shade extended its remaining arm to <NIER>. <FONT=ITALIC>I must must touch him. I must make contact.</FONT>
The moment its fingers brushed against <NIER>, the tree felt a warm sensation begin to burn. Something hot coursed through its fingers, up its arm, and out to its entire body.<PAGE>It was emotion, more than the entity had felt in centuries.;Dès que ses vrilles effleurèrent <NIER>, l'arbre éprouva une sensation de brulûre. Une pulsation incandescente parcourut ses branches et tout son être. C'étaient des émotions, des émotions d'une intensité telle que l'arbre n'en avait pas ressenti depuis des siècles...;142;The moment its fingers brushed against <NIER>, the tree felt a warm sensation begin to burn. Something hot coursed through its fingers, up its arm, and out to its entire body.<PAGE>It was emotion, more than the entity had felt in centuries.
The tree cried out in surprise and joy.;Surpris, l'arbre poussa un cri de joie.;143;The tree cried out in surprise and joy.
One thousand years alone. One thousand years in quiet contemplation.;Après mille ans de solitude, mille ans de contemplation profonde…;144;One thousand years alone. One thousand years in quiet contemplation.
<STOP>The tree felt like it was going to break apart.<PAGE>;<STOP>L'arbre crut qu'il allait éclater.;145;<STOP>The tree felt like it was going to break apart.<PAGE>
For long centuries, the tree had been alone, its heart sealed with heavy chains. But no more. <STOP>New, powerful emotions began to take hold, causing its heart to lighten. <STOP>This was more than the simple emotions it had been designed to feel: it was the beginnings of a soul.;Pendant des siècles, il avait été seul, son cœur chargé de lourdes chaînes. Plus maintenant.<PAGE>De nouvelles émotions puissantes ranimèrent et élevèrent son cœur, plus vives que celles que son créateur lui avait permis de ressentir... <STOP>Les rudiments d'une âme.;146;For long centuries, the tree had been alone, its heart sealed with heavy chains. But no more. <STOP>New, powerful emotions began to take hold, causing its heart to lighten. <STOP>This was more than the simple emotions it had been designed to feel: it was the beginnings of a soul.
And the man was the key.;Et cet homme en était la clef.;147;And the man was the key.
This was the promise made long ago. This was how it would be released. ;C'était la promesse faite il y a si longtemps. C'était ainsi qu'il serait libéré.;148;This was the promise made long ago. This was how it would be released. 
