JAP;FR;COUNT;OUPS
In the past weeks, a mysterious disease called the Deathdream had spread across the Forest of Myth. Those who caught it were cursed to fall asleep and live forever within the world of their own dreams. <STOP>The village mayor had determined that the Deathdream was spread from person to person by spoken words, but before he could learn more, the disease took him as well.;Homme#: Je suis le maire de ce village. Il y a quelques semaines, certains ont contracté une maladie mystérieuse provenant de la forêt des légendes, le songe mortel. Ceux qui l'attrapent sombrent dans un sommeil éternel et deviennent prisonniers de leurs rêves. J'ai découvert que le songe mortel se propageait par les mots, mais la maladie m'a emporté avant que je ne puisse en apprendre davantage...;74;In the past weeks, a mysterious disease called the Deathdream had spread across the Forest of Myth. Those who caught it were cursed to fall asleep and live forever within the world of their own dreams. <STOP>The village mayor had determined that the Deathdream was spread from person to person by spoken words, but before he could learn more, the disease took him as well.
Weiss stared at the mayor, his mouth twitching slightly.;Weiss regarda fixement le maire, les lèvres pincées.;75;Weiss stared at the mayor, his mouth twitching slightly.
"Now see here, he said, ""are you saying that we have been absorbed into your dream?""";Un instant, s'écria-t-il, vous voulez dire que nous avons été absorbés dans votre rêve#?;76;"Now see here, he said, ""are you saying that we have been absorbed into your dream?"""
"Um, well...yes, said the mayor. ""I think you have.""";Euh, eh bien... oui, répondit le maire. Je crois que c'est le cas.;77;"Um, well...yes, said the mayor. ""I think you have."""
"Oh, crap, said <NIER>. ""So that means we've caught the Deathdream?""";Oh, non#! s'exclama <NIER>. Ça veut dire que nous avons attrapé la maladie du songe mortel#?;78;"Oh, crap, said <NIER>. ""So that means we've caught the Deathdream?"""
Before the mayor could confirm <NIER>'s suspicion, Weiss exploded with rage.;Avant même que le maire puisse confirmer les soupçons de <NIER>, Weiss explosa de colère.;79;Before the mayor could confirm <NIER>'s suspicion, Weiss exploded with rage.
Ridiculous! Preposterous! Completely unfathomable on every conceivable level! I don't even recall falling asleep!;Ridicule#! Impossible#! Quelle que soit votre prémisse, votre conclusion se doit d'être fausse#! Je ne me rappelle même pas m'être endormi#!;80;Ridiculous! Preposterous! Completely unfathomable on every conceivable level! I don't even recall falling asleep!
The mayor attempted to take Weiss's complaints in stride.;Le maire essaya de continuer sans se laisser décontenancer par les récriminations de Weiss.;81;The mayor attempted to take Weiss's complaints in stride.
That's just how the Deathdream works, he said, brushing aside the book's remarks.;C'est ainsi que le songe mortel attaque ses victimes, répliqua-t-il, balayant du revers de la main les objections du livre volant.;82;That's just how the Deathdream works, he said, brushing aside the book's remarks.
My remarks shall not be brushed aside, fool! And it would behoove you to remember that this world allows me to view all of its narration!<PAGE>;Mes remarques ne seront pas «#balayées du revers de la main#»#! Vous feriez bien de ne pas oublier que nous savons tout ce que la narration relate dans ce monde#!<PAGE>;83;My remarks shall not be brushed aside, fool! And it would behoove you to remember that this world allows me to view all of its narration!<PAGE>
The mayor twisted his mouth into an embarrassed grimace, then quickly changed the subject to who <NIER> had seen—and what they had discussed—since coming to the village.;Le maire grimaça, un peu embarrassé, puis changea rapidement de sujet en leur demandant à qui ils avaient parlé depuis leur arrivée au village et de quoi ils avaient discuté.;84;The mayor twisted his mouth into an embarrassed grimace, then quickly changed the subject to who <NIER> had seen—and what they had discussed—since coming to the village.
"Something there must have caused you to enter my dream, said the mayor. ""A certain conversation, a specific word...something!""";Quelque chose a dû vous faire pénétrer dans mon rêve, affirma le maire. Ce pourrait être une conversation que vous avez eue, ou un mot en particulier#!;85;"Something there must have caused you to enter my dream, said the mayor. ""A certain conversation, a specific word...something!"""
"<NIER> and Weiss racked their brains, but could find no easy solutions. There were simply too many words to consider; too much random chatter; too many meaningless conversations.<PAGE>";<NIER> et Weiss se creusèrent la tête, mais ils n'arrivèrent pas à trouver une réponse évidente. Il y avait trop de bavardage ennuyeux, trop de conversations banales, trop de mots insignifiants à considérer.<PAGE>;86;"<NIER> and Weiss racked their brains, but could find no easy solutions. There were simply too many words to consider; too much random chatter; too many meaningless conversations.<PAGE>"
Grimoire Weiss does not engage in meaningless conversations!;Le Grimoire Weiss ne tient jamais de conversation banale#!;87;Grimoire Weiss does not engage in meaningless conversations!
The mere suggestion that Weiss chose his words carelessly seemed to sting his pride.;Même la simple suggestion que Weiss pouvait ne pas choisir ses mots avec soin sembla le piquer au vif.;88;The mere suggestion that Weiss chose his words carelessly seemed to sting his pride.
It does not 'seem' to sting my pride, you bloated gasbag of a narrator! It has demolished it utterly!;Cela ne «#semble#» pas me piquer au vif, espèce de narrateur présomptueux#! Cela me blesse profondément#!;89;It does not 'seem' to sting my pride, you bloated gasbag of a narrator! It has demolished it utterly!
Irritated, Weiss looked skyward, as if searching for answers in the heavens.;Irrité, Weiss roula des yeux implorants vers le ciel, espérant peut-être y trouver une réponse.;90;Irritated, Weiss looked skyward, as if searching for answers in the heavens.
I was doing no such thing! Just leave me alone already!;Je ne faisais certainement pas une chose pareille#! Ah, ça suffit#!;91;I was doing no such thing! Just leave me alone already!
The anger created by his harsh words bled over to <NIER> like a contagion.;La colère engendrée par les paroles mordantes du grimoire se propagea à <NIER>, comme par contagion.;92;The anger created by his harsh words bled over to <NIER> like a contagion.
"Wait, said <NIER> suddenly.  ""Did someone just say contagion?""";Attendez#! s'exclama soudainement <NIER>. Par contagion#?;93;"Wait, said <NIER> suddenly.  ""Did someone just say contagion?"""
Yes, I believe so. What of it?;Oui, je crois que c'est ce que le narrateur affirme, répondit Weiss. Qu'en est-il#?;94;Yes, I believe so. What of it?
Well, that villager told us to watch out for contagious words, right?;Eh bien, cet homme nous a dit de nous méfier des mots contagieux, non#?;95;Well, that villager told us to watch out for contagious words, right?
The mayor leaned forward with renewed interest,;Intéressé, le maire se pencha vers l'avant;96;The mayor leaned forward with renewed interest,
pushing a startled Weiss aside in the process.;pour mieux écouter <NIER> et bouscula Weiss.;97;pushing a startled Weiss aside in the process.
"Well, he must have said <FONT=ITALIC>something,</FONT> right? asked the mayor. ""Some specific combination of words? What";Il a dû vous dire quelque chose, non#? demanda le maire. Une phrase spécifique#?;98;"Well, he must have said <FONT=ITALIC>something,</FONT> right? asked the mayor. ""Some specific combination of words? What"
"was it?""<PAGE>";Que vous a-t-il dit précisément#?<PAGE>;99;"was it?""<PAGE>"
"It was about dreaming, or something that dreams, or...";Il parlait de rêves ou de quelque chose qui rêve…;100;"It was about dreaming, or something that dreams, or..."
Oh, what the hell was it?;Oh, qu'est-ce que c'était, déjà#?;101;Oh, what the hell was it?
A sheep!? cried Weiss suddenly, blurting out the first thing that popped into this head. ;Un mouton#?! s'écria soudainement Weiss, lâchant le premier mot qui lui était venu à l'esprit.;102;A sheep!? cried Weiss suddenly, blurting out the first thing that popped into this head. 
The others stared at him for a moment before slowly shaking their heads. <STOP>After a few more minutes of thought, <NIER>'s face suddenly lit up.;Ils le regardèrent fixement pendant un moment, puis secouèrent la tête. <STOP>Après quelques minutes de réflexion, le visage de <NIER> s'éclaira.;103;The others stared at him for a moment before slowly shaking their heads. <STOP>After a few more minutes of thought, <NIER>'s face suddenly lit up.
"I remember! he said. ""'Those who dream.' That's what he said—I'm sure of it.""";Je me souviens#! dit-il. «#Ceux qui rêvent.#» C'est ce qu'il a dit, j'en suis certain.;104;"I remember! he said. ""'Those who dream.' That's what he said—I'm sure of it."""
At this, the mayor produced a thick sheaf of papers from his pocket. He flipped through them a few times before finally nodding his approval at <NIER>.<PAGE>;Le maire sortit alors une liasse de papiers de sa poche. Il feuilleta les pages quelques fois, puis hocha finalement la tête en direction de <NIER>.<PAGE>;105;At this, the mayor produced a thick sheaf of papers from his pocket. He flipped through them a few times before finally nodding his approval at <NIER>.<PAGE>
"That sounds right, he said, as a stray sheet of paper fluttered to the ground. ""My notes also mention something about that. I bet it was the last thing you heard before you fell asleep.""";Cela semble plausible, déclara-t-il. Une feuille s'échappa de la liasse et voleta jusqu'au sol.— Mes notes font aussi mention de quelque chose à ce propos. Je parie que ce sont les derniers mots que vous avez entendus avant de vous endormir.;106;"That sounds right, he said, as a stray sheet of paper fluttered to the ground. ""My notes also mention something about that. I bet it was the last thing you heard before you fell asleep."""
The mayor shook his head, his worn pencil stub tracing lines across a lone piece of paper.<PAGE>;Le maire secoua la tête et traça des lignes sur une feuille de papier à l'aide d'un bout de crayon usé.<PAGE>;107;The mayor shook his head, his worn pencil stub tracing lines across a lone piece of paper.<PAGE>
"For the last month, I've done nothing but study the disease we call the Deathdream, he said. <STOP>""I mean, I'm the mayor, right? It's my job to protect people from whatever comes along. But I never expected a couple of outsiders to start entering people's dreams."" <STOP>The mayor paused, a grimace crossing his face. ""I should probably be taking notes or something.""<PAGE>";J'étudie depuis un mois la maladie que l'on appelle le «#songe mortel#», expliqua-t-il. Je suis le maire, après tout. C'est à moi de protéger les habitants de mon village. Cependant, je ne m'attendais pas à ce que des étrangers puissent pénétrer dans nos rêves. Je devrais probablement le noter quelque part...<PAGE>;108;"For the last month, I've done nothing but study the disease we call the Deathdream, he said. <STOP>""I mean, I'm the mayor, right? It's my job to protect people from whatever comes along. But I never expected a couple of outsiders to start entering people's dreams."" <STOP>The mayor paused, a grimace crossing his face. ""I should probably be taking notes or something.""<PAGE>"
Weiss immediately fired back.;Weiss répliqua immédiatement#:;109;Weiss immediately fired back.
"I applaud the force of will it takes to research a disease in your dreams, he said, ""but perhaps we should bend your efforts to escaping this place instead of trying to";J'applaudis à votre volonté de faire des recherches sur cette maladie dans vos rêves, mais vous devriez peut-être vous appliquer à vous échapper de cet endroit;110;"I applaud the force of will it takes to research a disease in your dreams, he said, ""but perhaps we should bend your efforts to escaping this place instead of trying to"
"understand it.""";au lieu d'essayer de le comprendre#!;111;"understand it."""
The mayor's hand tightened around his pencil, snapping it off at the tip.<PAGE>;Le maire mit tant de pression sur son crayon que sa mine se cassa.<PAGE>;112;The mayor's hand tightened around his pencil, snapping it off at the tip.<PAGE>
I've tried to escape. <STOP>From the very first moment I realized I was locked inside my own dream, I've been looking for a way out...but I don't think it exists. <STOP>I mean, this is <FONT=ITALIC>my</FONT> dream, right? If there was an exit, I'd know about it.;J'ai essayé de m'enfuir. Dès que je me suis rendu compte que j'étais prisonnier de mon propre rêve, j'ai tenté de trouver une sortie... Je ne crois pas qu'elle existe. C'est pourtant mon rêve, n'est-ce pas#? S'il y avait une sortie, je le saurais sûrement.;113;I've tried to escape. <STOP>From the very first moment I realized I was locked inside my own dream, I've been looking for a way out...but I don't think it exists. <STOP>I mean, this is <FONT=ITALIC>my</FONT> dream, right? If there was an exit, I'd know about it.
He paused for a moment, his unfocused eyes staring at nothing.<PAGE>;Il s'arrêta un instant, regardant dans le vague.<PAGE>;114;He paused for a moment, his unfocused eyes staring at nothing.<PAGE>
"My village was beautiful, he said to no one in particular. ""And it was filled with the most wonderful people you could ever hope to meet. <STOP>But once this disease took hold, things...changed. It's like someone took a sponge and soaked all the color out of our lives. <STOP>I just want us to be whole again. I want us to be free."" <STOP>The mayor's voice took on a note of steely determination. ""And I won't stop trying until it happens.""";Mon village était magnifique, continua-t-il, ne s'adressant à personne en particulier. Et il était peuplé des gens les plus aimables qui soient. <STOP>Mais lorsque la maladie a frappé, tout a changé... C'est comme si elle avait absorbé toute la joie qui illuminait nos vies. <STOP>Je veux retrouver ce que nous avons perdu. Je veux être libre... et je continuerai jusqu'à ce que je réussisse.;115;"My village was beautiful, he said to no one in particular. ""And it was filled with the most wonderful people you could ever hope to meet. <STOP>But once this disease took hold, things...changed. It's like someone took a sponge and soaked all the color out of our lives. <STOP>I just want us to be whole again. I want us to be free."" <STOP>The mayor's voice took on a note of steely determination. ""And I won't stop trying until it happens."""
<NIER> nodded in agreement.;<NIER> hocha la tête.;116;<NIER> nodded in agreement.
Huh? Wait a second, I didn't nod. Why are you—?;Hein#? Un instant#! Je n'ai pas hoché la tête. Pourquoi est-ce que...?!;117;Huh? Wait a second, I didn't nod. Why are you—?
"Look. If we can be of any help, said <NIER>, ""just ask.""";Écoutez, si nous pouvons vous prêter main-forte, lui assura <NIER>, nous le ferons.;118;"Look. If we can be of any help, said <NIER>, ""just ask."""
Now hold on! I did <FONT=ITALIC>not</FONT> just say that!<PAGE>;Hé, oh#! Je n'ai pas dit tout ça#!<PAGE>;119;Now hold on! I did <FONT=ITALIC>not</FONT> just say that!<PAGE>
Silence! cried Weiss.;Silence#! s'écria Weiss.;120;Silence! cried Weiss.
The grimoire looked from <NIER> to the mayor and back again, his face filling with confidence.;Le grimoire regarda <NIER> et le maire tour à tour, son visage se remplissant peu à peu d'assurance.;121;The grimoire looked from <NIER> to the mayor and back again, his face filling with confidence.
Grimoire Weiss's face is always confident, thank you very much! <STOP>Now see here, Mayor. You told us that nothing can exist in this dream without your knowing of it. <STOP>But yet you seemed surprised to see us when we first arrived, yes?<PAGE>;Le visage du Grimoire Weiss est toujours plein d'assurance, qu'on se le dise#! Monsieur le maire, vous nous avez dit que rien n'existe dans votre rêve sans que vous n'en soyez conscient. Cependant, notre arrivée vous a surpris, n'est-ce pas#?<PAGE>;122;Grimoire Weiss's face is always confident, thank you very much! <STOP>Now see here, Mayor. You told us that nothing can exist in this dream without your knowing of it. <STOP>But yet you seemed surprised to see us when we first arrived, yes?<PAGE>
The mayor slowly raised his head, realization dawning on his face.;Le maire leva la tête et son visage s'éclaira d'un sourire lorsqu'il se rendit compte des implications de cette déclaration.;123;The mayor slowly raised his head, realization dawning on his face.
"Oh my god, he said. ""You're right. You're <FONT=ITALIC>right!</FONT> I had no idea you were coming!""";Ciel#! s'exclama-t-il, vous avez raison#! Vous avez parfaitement raison#! Je ne m'attendais pas du tout à vous rencontrer#!;124;"Oh my god, he said. ""You're right. You're <FONT=ITALIC>right!</FONT> I had no idea you were coming!"""
"The human imagination is a limitless engine, said Weiss, ""and dreams are the fuel. If you can imagine an exit, then it must be so. <STOP>With your permission, we shall search it out.""";L'imagination humaine est sans limites et les rêves l'alimentent, dit Weiss. Si vous pouvez imaginer une sortie, c'est qu'elle existe. Nous irons à sa recherche... avec votre permission, bien sûr#!;125;"The human imagination is a limitless engine, said Weiss, ""and dreams are the fuel. If you can imagine an exit, then it must be so. <STOP>With your permission, we shall search it out."""
"Thank you, said the mayor. ""I don't know how I can repay you.""";Je ne sais comment vous remercier, répondit le maire.;126;"Thank you, said the mayor. ""I don't know how I can repay you."""
Payment is not required. We are as eager as you to be done with this place.;Aucune récompense n'est nécessaire. Nous sommes aussi impatients de sortir de cet endroit que vous l'êtes.;127;Payment is not required. We are as eager as you to be done with this place.
The mayor suddenly felt as if he could breathe again. He'd almost forgotten what it was like.;Le maire eut soudainement l'impression qu'il pouvait de nouveau respirer. Il avait presque oublié comment le faire.;128;The mayor suddenly felt as if he could breathe again. He'd almost forgotten what it was like.
"Good luck, you two! he called at the departing forms of <NIER> and Weiss. ""We're all counting on you!""<PAGE>";Bonne chance#! cria-t-il à <NIER> et Weiss qui s'éloignaient déjà. Je compte sur vous#!<PAGE>;129;"Good luck, you two! he called at the departing forms of <NIER> and Weiss. ""We're all counting on you!""<PAGE>"
As <NIER> slowly faded into the misty forest, the mayor was struck by a sense of déjà vu. ;Alors que <NIER> disparaissait dans la forêt brumeuse, le maire fut frappé d'une impression de déjà-vu.;130;As <NIER> slowly faded into the misty forest, the mayor was struck by a sense of déjà vu. 
<FONT=ITALIC>I saw this man once before,</FONT> he thought. <FONT=ITALIC>But where...?</FONT>;<FONT=ITALIC>J'ai déjà rencontré cet homme quelque part</FONT>, se dit-il. <FONT=ITALIC>Mais où...?</FONT>;131;<FONT=ITALIC>I saw this man once before,</FONT> he thought. <FONT=ITALIC>But where...?</FONT>
<NIER>'s mood darkened as he trudged through the forest. <STOP>Hours earlier, when the beauty of the place was still a new thing, he'd been confident they could get in, find the exit, and be home in time for dinner.  ;L'humeur de <NIER> s'assombrissait au fur et à mesure qu'il parcourait la forêt. <STOP>Quelques heures plus tôt, il s'émerveillait de la beauté de cet endroit et était convaincu qu'il pourrait trouver la sortie en moins de deux et rentrer au village à temps pour le dîner. Ce n'était plus le cas.;132;<NIER>'s mood darkened as he trudged through the forest. <STOP>Hours earlier, when the beauty of the place was still a new thing, he'd been confident they could get in, find the exit, and be home in time for dinner.  
But the deeper they went, the more the forest closed in around him. The mist made it difficult to see more than a foot in any direction, and moss-covered rocks seemed determined to twist his ankle. <STOP>More than once he'd been forced to steady himself on the rough bark of a tree, and his hands now left small trails of blood on everything he touched.<PAGE>;Plus il avançait, plus la forêt l'entourait étroitement. La brume l'empêchait de voir au-delà d'un mètre devant lui et les pierres glissantes recouvertes de mousse semblaient déterminées à lui fouler une cheville, sinon deux. <STOP>Il dut plus d'une fois s'agripper à l'écorce rugueuse d'un arbre pour ne pas tomber et il laissait désormais des traces ensanglantées sur tout ce qu'il touchait.<PAGE>;133;But the deeper they went, the more the forest closed in around him. The mist made it difficult to see more than a foot in any direction, and moss-covered rocks seemed determined to twist his ankle. <STOP>More than once he'd been forced to steady himself on the rough bark of a tree, and his hands now left small trails of blood on everything he touched.<PAGE>
Additionally, Weiss was proving to be a spectacularly poor traveling companion. Unhindered by either terrain or physical effort, he spent most of his time urging <NIER> to pick up the pace and grumbling about their slow progress.<PAGE>;En outre, Weiss s'avérait être un très mauvais compagnon de route. Jamais ralenti par le terrain accidenté ou l'effort de marcher, il passait son temps à demander à <NIER> d'avancer plus rapidement.<PAGE>;134;Additionally, Weiss was proving to be a spectacularly poor traveling companion. Unhindered by either terrain or physical effort, he spent most of his time urging <NIER> to pick up the pace and grumbling about their slow progress.<PAGE>
Finally, after Weiss muttered something about legless turtles being more adept at navigating the environment, <NIER> snapped.;Après une des tirades du grimoire au sujet d'une tortue sans pattes qui pourrait se frayer un chemin plus facilement, <NIER> finit par en avoir assez.<STOP>;135;Finally, after Weiss muttered something about legless turtles being more adept at navigating the environment, <NIER> snapped.
"<STOP>""You know what, Weiss?"" he cried. ""Go to hell. We're stopping. I need to rest for a few minutes before I throw up.""";Va te faire voir, Weiss#! s'exclama-t-il. Je m'arrête. Je dois me reposer un peu, sinon je vais m'effondrer.;136;"<STOP>""You know what, Weiss?"" he cried. ""Go to hell. We're stopping. I need to rest for a few minutes before I throw up."""
"<NIER> leaned against a tree and tried to stretch the knots from his back. ""How can this stupid forest be so goddamn big?"" he muttered to himself.<PAGE>";Adossé contre un arbre, <NIER> essaya de s'étirer et de dissiper les points dans son dos.<STOP>Cette forêt est-elle donc sans fin#? grommela-t-il.<PAGE>;137;"<NIER> leaned against a tree and tried to stretch the knots from his back. ""How can this stupid forest be so goddamn big?"" he muttered to himself.<PAGE>"
The moment the words tumbled from his mouth, a cacophony of insects sprang to life. <STOP>As if infuriated by his lack of respect, every imaginable form of buzz, click, and hiss roared out with a volume that rattled his teeth.;Dès qu'il prononça ces paroles, un essaim d'insectes s'éleva autour de lui, provoquant une effroyable cacophonie. <STOP>Son manque de respect semblait les avoir enragés. Leurs bourdonnements, sifflements et vrombissements stridents menaçaient de lui déchirer les tympans.;138;The moment the words tumbled from his mouth, a cacophony of insects sprang to life. <STOP>As if infuriated by his lack of respect, every imaginable form of buzz, click, and hiss roared out with a volume that rattled his teeth.
"<NIER> slapped his hands over his ears and screamed to be heard. ""Weiss! What the hell is going on?""";<NIER> protégea ses oreilles de ses mains et hurla#: Weiss#! Que se passe-t-il#?;139;"<NIER> slapped his hands over his ears and screamed to be heard. ""Weiss! What the hell is going on?"""
<NIER> could see Weiss's mouth moving, but he might as well have been shouting in a tornado. <STOP>The insects screamed. The forest howled. <STOP>And then, just as <NIER>'s ears seemed ready to tear from his head and go running for cover, the sound diminished. <STOP>Hesitantly, <NIER> removed the hand from his left ear and listened to the creatures of the woods.;<NIER> voyait bien les lèvres de Weiss bouger, mais il lui était impossible d'entendre sa voix à travers le vacarme. Les insectes hurlaient et le vent mugissait dans les arbres. Puis soudain, alors que la tête de <NIER> semblait vouloir exploser, le chahut s'atténua.<NIER> enleva sa main de son oreille gauche avec précaution et écouta les voix des créatures de la forêt.;140;<NIER> could see Weiss's mouth moving, but he might as well have been shouting in a tornado. <STOP>The insects screamed. The forest howled. <STOP>And then, just as <NIER>'s ears seemed ready to tear from his head and go running for cover, the sound diminished. <STOP>Hesitantly, <NIER> removed the hand from his left ear and listened to the creatures of the woods.
<FONT=ITALIC>Zree! Zree! Zree! Zree!</FONT>;<FONT=ITALIC>Zri#! Zri#! Zri#! Zri#!</FONT>;141;<FONT=ITALIC>Zree! Zree! Zree! Zree!</FONT>
<FONT=ITALIC>Shak-k-k-k! Shak-k-k-k! Shak-k-k-k!</FONT>;<FONT=ITALIC>Chac-ac-ac-ac#! Chac-ac-ac-ac#! Chac-ac-ac-ac#!</FONT>;142;<FONT=ITALIC>Shak-k-k-k! Shak-k-k-k! Shak-k-k-k!</FONT>
<FONT=ITALIC>Chk-chk-chee! Chk-chk-chee! Chk-chk-chee!</FONT>;<FONT=ITALIC>Chik-chik-chi#! Chik-chik-chi#! Chik-chik-chi#!</FONT>;143;<FONT=ITALIC>Chk-chk-chee! Chk-chk-chee! Chk-chk-chee!</FONT>
<FONT=ITALIC>Woo-woo-wooma! Woo-woo-wooma!</FONT>;<FONT=ITALIC>Wou-wou-woum#! Wou-wou-woum#!</FONT>;144;<FONT=ITALIC>Woo-woo-wooma! Woo-woo-wooma!</FONT>
